Winner_Name, Winner_Items, HP_Remaining, Opponent_Name, Opponent_Items
Titania Somerset,Shield,21,Julius Whitmore,Sword
Caius Pendragon,Leather Boots,2,Rowan Blackburn,Sword
Junia Dunstable,Leather Boots,5,Lancelot Wentworth,Shield
Isadora Merrick,Sword,8,Percival Farleigh,Shield
Cassius Chadwell,Leather Boots,14,Arabella Redcliffe,Shield
Cyprian Fitzgerald,Shield,1,Ambrose Winslow,Leather Boots
Gaius Barlow,Shield,21,Corin Clayton,Leather Boots
Augustus Fairfax,Leather Boots,5,Evangeline Montgomery,Sword
Artemis Pembroke,Sword,1,Theron Whitmore,Leather Boots
Titania Marlowe,Leather Boots,2,Clementine Marston,Sword
Galen Chatham,Leather Boots,5,Lysander Whitaker,Shield
Isolde Sanderson,Shield,18,Rosamund Monroe,Leather Boots
Severus Addington,Leather Boots,17,Gwendolyn Windsor,Sword
Perseus Sanderson,Leather Boots,17,Thaddeus Langdon,Sword
Valerius Wentworth,Shield,2,Cassian Windsor,Leather Boots
Evangeline Channing,Sword,3,Cedric Wellford,Shield
Julius Ashbourne,Leather Boots,17,Eleanor Llewellyn,Shield
Constantine Dunstan,Shield,15,Elaine Warwick,Leather Boots
Tiberius Ellis,Shield,19,Perseus Windsor,Sword
Elara Bannister,Leather Boots,21,Percival Donovan,Shield
Guinevere Langley,Shield,23,First Name Marlowe,Leather Boots
Lyra Addington,Leather Boots,4,Evangeline Holloway,Sword
Augustus Rutherford,Leather Boots,11,Amara Cromwell,Sword
Leander Hollingsworth,Sword,10,Leocadia Redmond,Leather Boots
Seraphina Carlton,Sword,2,Titus Bramblecroft,Shield
Cassius Marlowe,Leather Boots,16,Percival Clifford,Shield
Beatrice Standish,Shield,10,Corin Winslow,Leather Boots
Septimus Beauchamp,Sword,5,Rosalind Winchester,Leather Boots
Leon Fairfax,Shield,3,Junia Redmond,Sword
Isolde Fairfax,Leather Boots,20,Rosalind Redmond,Sword
Cyprian Carlisle,Sword,5,Rowena Fitzwilliam,Shield
Elara Drake,Leather Boots,10,Clementine Carlton,Sword
Cyprian Hampton,Shield,9,Carl Channing,Leather Boots
Titus Chadwick,Sword,13,Helena Beauchamp,Leather Boots
Hadrian Standish,Sword,1,Eloise Westbury,Leather Boots
Eleanor Westbury,Leather Boots,1,Althea Sanderson,Sword
Isolde Warwick,Sword,12,Cassius Beauchamp,Shield
Gwendolyn Drake,Sword,16,Lucius Sheffield,Leather Boots
Isolde Chamberlain,Sword,20,Aveline Warwick,Leather Boots
Leon Farleigh,Sword,4,Titus Bannister,Leather Boots
Lyra Hastings,Shield,20,Eleanor Thornton,Leather Boots
Cressida Winchester,Leather Boots,10,Elaine Sinclair,Sword
Carl Carleton,Leather Boots,8,Cedric Harper,Shield
Ginevra Rutherford,Shield,13,Aurelia Manning,Leather Boots
Aurelia Blackburn,Shield,25,Hadrian Covington,Sword
Rosalind Winslow,Sword,16,Euphemia Merrick,Shield
Lysandra Ellis,Sword,8,Leon Bradbury,Leather Boots
Cassian Winthrop,Shield,11,Marcus Beaumont,Leather Boots
Lancelot Sanderson,Sword,16,Orlando Standish,Shield
Cyprian Somerset,Leather Boots,5,Ariadne Addington,Shield
Hadrian Bradbury,Shield,4,Briallen Ashbourne,Sword
Guinevere Blackburn,Leather Boots,16,Guinevere Wentworth,Shield
Althea Huntington,Shield,4,Benedict Marlowe,Sword
Gaius Thornton,Leather Boots,14,Arabella Warwick,Shield
First Name Cromwell,Shield,1,Constantine Clayton,Sword
Guinevere Carlisle,Shield,14,Lancelot Warwick,Sword
Rosamund Clayton,Leather Boots,20,Aurelie Hampton,Sword
Isolde Bradford,Shield,19,Guinevere Kingsley,Sword
Lucinda Thornton,Sword,25,Lysandra Winslow,Shield
Guinevere Hampton,Shield,23,Aurelia Langford,Leather Boots
Aurelia Bradbury,Sword,6,Lysandra Sanderson,Shield
Quintus Sanderson,Leather Boots,6,Evangeline Faraday,Sword
Daphne Hazelmere,Leather Boots,18,Lysander Fairchild,Sword
Valerius Blackwood,Leather Boots,1,Hadrian Devereux,Shield
Octavian Wentworth,Sword,12,Althea Winslow,Shield
Cassia Dunstable,Sword,1,Marcus Fairchild,Shield
Titania Redcliffe,Shield,4,Cassius Hollingsworth,Sword
Augustus Hampton,Shield,19,Severus Sinclair,Sword
Elowen Whitaker,Leather Boots,12,Evangeline Sanderson,Shield
Septimus Wycliffe,Sword,11,Ariadne Chadwick,Shield
Gawain Mortimer,Leather Boots,19,Tiberius Devereux,Shield
Aurelia Westcott,Sword,14,Cyprian Pembroke,Shield
Clementine Warwick,Shield,12,Valentin Stratford,Leather Boots
Rosalind Winslow,Shield,4,Augustus Wycliffe,Leather Boots
Aurelie Manning,Shield,2,Lucinda Blackwood,Leather Boots
Corbin Hazelmere,Leather Boots,21,Cornelius Hazelmere,Shield
Isolde Claybourne,Shield,14,Eloise Bradford,Sword
Octavius Hartley,Sword,15,Gwendolyn Hawthorne,Leather Boots
Euphemia Westbury,Leather Boots,8,Caius Blackwell,Shield
Gwendolyn Manning,Shield,10,Octavian Gresham,Leather Boots
Isolde Bellingham,Sword,14,Severus Westminster,Leather Boots
Giselle Stratton,Leather Boots,3,Giselle Kingsley,Sword
Aurelia Pembroke,Sword,11,Briallen Lancaster,Shield
Guinevere Farleigh,Leather Boots,2,Felix Huntington,Sword
Quintus Beaumont,Leather Boots,2,Rosalind Stratford,Sword
Leon Langdon,Sword,4,Leander Harrington,Shield
Rosamund Hastings,Sword,9,Althea Carlyle,Leather Boots
Hadrian Wycliffe,Sword,9,Cassia Clayton,Shield
Lucian Westbury,Shield,11,Marcellus Harrow,Sword
Marcus Bannister,Shield,7,Aurelius Dunstan,Sword
Cedric Harrington,Shield,9,Artemis Last Name,Leather Boots
Gawain Ashbourne,Sword,4,Lucinda Chaucer,Shield
Cordelia Merrick,Leather Boots,14,Briallen Blackwell,Sword
Octavius Hampton,Shield,2,Cordelia Merrick,Leather Boots
Remus Warwick,Shield,3,Amara Harper,Leather Boots
Aurelia Davenport,Sword,4,Isadora Covington,Leather Boots
Felix Chadwell,Shield,8,Guinevere Chadwick,Leather Boots
Aurelius Clayton,Shield,9,Lavinia Winslow,Sword
Lucinda Sinclair,Sword,8,Althea Rutherford,Shield
Leocadia Whitmore,Leather Boots,8,Seraphina Stanhope,Shield
Carl Bramblecroft,Sword,14,Quintus Monroe,Shield
Maximus Lancaster,Sword,10,Maximus Hazelmere,Leather Boots
Septimus Montgomery,Shield,2,Corin Barlow,Sword
Remus Westcott,Shield,12,Julius Last Name,Leather Boots
Gwendolyn Windsor,Leather Boots,13,Evangeline Chaucer,Sword
Valentin Fairfax,Shield,2,Severus Pembroke,Sword
Cordelia Warwick,Sword,8,Caius Westminster,Leather Boots
Rosamund Llewellyn,Sword,8,Hadrian Standish,Shield
Gwendolyn Channing,Sword,12,Quintus Marlowe,Shield
Orlando Withers,Shield,9,Thaddeus Stanhope,Sword
Constantine Fairfax,Shield,6,Isolde Addington,Leather Boots
Tiberius Monroe,Shield,19,Amara Chamberlain,Leather Boots
Aurelian Bramblecroft,Sword,19,Severus Sinclair,Shield
Cyprian Huntington,Shield,1,Guinevere Whitaker,Sword
Cedric Addington,Sword,4,Althea Stratford,Leather Boots
Rosamund Bradford,Sword,13,Lucinda Redcliffe,Shield
Elara Fairfax,Leather Boots,4,Cassius Wentworth,Sword
Elara Farleigh,Shield,6,Corbin Standish,Leather Boots
Septimus Sheffield,Sword,2,Aurelius Fitzwilliam,Shield
Seraphina Redmond,Shield,7,Briallen Pembroke,Sword
Isadora Mortimer,Sword,6,Aurelius Hampton,Leather Boots
Hadrian Bramblecroft,Leather Boots,18,Eleanor Pembroke,Sword
Lyra Blackwood,Sword,1,Lysander Bradford,Leather Boots
Julius Hollingsworth,Leather Boots,11,Guinevere Rutherford,Shield
Ambrose Beauchamp,Sword,16,Valerius Wentworth,Leather Boots
Ariadne Devereux,Sword,11,Octavian Monroe,Shield
Seraphina Forrester,Sword,9,Valerius Davenport,Shield
Aurelie Davenport,Sword,4,Althea Clifford,Shield
Clementine Kingsley,Leather Boots,7,Aurelia Addington,Sword
Giselle Clayton,Sword,7,Beatrice Gresham,Shield
Rosalind Witherspoon,Shield,12,Caius Whitaker,Leather Boots
Gwendolyn Holloway,Shield,5,Isolde Chadwick,Sword
Leander Stratford,Sword,12,Augustus Harper,Leather Boots
Lysandra Chadwick,Shield,3,Percival Dunstable,Sword
Quintus Monroe,Shield,13,Isolde Wellington,Sword
Artemis Westminster,Shield,2,Seraphina Winslow,Sword
Isolde Langford,Shield,15,Cordelia Stratton,Sword
Percival Manning,Sword,7,Guinevere Channing,Leather Boots
Benedict Pendragon,Leather Boots,16,Caius Thornton,Sword
Aurelian Fairfax,Shield,23,Caius Stanhope,Sword
Amara Fairchild,Shield,9,Leon Beauchamp,Leather Boots
Elowen Forrester,Leather Boots,4,Carl Covington,Sword
Lucius Stanhope,Leather Boots,1,Briallen Devereux,Shield
Ariadne Carlton,Sword,6,Tiberius Hastings,Shield
Elaine Blackwood,Sword,17,Cyprian Westminster,Leather Boots
Guinevere Wentworth,Shield,6,Quintus Westbury,Sword
Rosalind Chadwick,Shield,1,Evangeline Blackburn,Leather Boots
Euphemia Huntington,Sword,5,Cordelia Ashbourne,Shield
Elaine Sinclair,Sword,1,Hadrian Carlyle,Leather Boots
Cornelius Sinclair,Sword,2,Lucinda Chaucer,Leather Boots
Amara Whitaker,Leather Boots,13,Cordelia Westminster,Shield
Eleanor Monroe,Leather Boots,14,Lyra Thornton,Sword
Aurelius Somerset,Leather Boots,6,Seraphina Bellingham,Shield
Clementine Wycliffe,Shield,16,Augustus Carleton,Sword
Elaine Standish,Leather Boots,30,Remus Covington,Shield
Rosalind Chatham,Leather Boots,27,Gwendolyn Marlowe,Sword
Septimus Cromwell,Shield,13,Gwendolyn Drake,Leather Boots
Cassian Manning,Sword,17,Cassius Westminster,Leather Boots
Evangeline Hazelmere,Shield,8,Ambrose Chadwell,Sword
Isolde Thornton,Shield,2,Daphne Westbury,Leather Boots
Cyprian Sinclair,Shield,4,Benedict Winthrop,Sword
Beatrice Fitzwilliam,Leather Boots,3,Percival Fairfax,Shield
Artemis Winchester,Sword,3,Marcus Pembroke,Leather Boots
Helena Wellford,Shield,1,Maximus Westminster,Leather Boots
Remus Monroe,Shield,15,Gaius Chamberlain,Sword
Augustus Langley,Leather Boots,21,Clementine Ashbourne,Shield
Lucius Monroe,Shield,12,Cassius Chadwick,Sword
Aurelian Blackwell,Sword,18,Beatrice Claybourne,Leather Boots
Lucinda Last Name,Leather Boots,5,Marcellus Warwick,Sword
Elaine Meriwether,Shield,8,Quintus Fitzwilliam,Leather Boots
Cressida Blackwood,Sword,12,Lyra Farleigh,Shield
Leon Bannister,Shield,10,Cordelia Hastings,Sword
Orlando Stanhope,Sword,9,Eleanor Ellis,Leather Boots
Aurelia Hazelmere,Leather Boots,1,Seraphina Claybourne,Sword
Lucinda Pembroke,Leather Boots,19,Guinevere Gresham,Sword
Hadrian Hazelmere,Shield,17,Galen Whitfield,Sword
Theron Harrington,Sword,5,Aurelie Redcliffe,Leather Boots
Galen Hartley,Leather Boots,9,Eleanor Windsor,Sword
Hadrian Marston,Shield,14,Guinevere Stanhope,Sword
Gaius Hastings,Shield,11,Evangeline Monroe,Sword
Marcus Carlisle,Leather Boots,20,Titus Langdon,Sword
Septimus Manning,Shield,11,Octavius Kingsley,Leather Boots
Lucian Stanhope,Sword,11,Junia Warwick,Shield
Septimus Hartley,Leather Boots,5,Isadora Wellford,Sword
Octavius Redmond,Shield,7,Guinevere Llewellyn,Sword
Percival Witherspoon,Leather Boots,12,Theron Fairfax,Sword
Lyra Winslow,Shield,4,Junia Carlton,Sword
Lancelot Wellford,Shield,5,Quintus Harrington,Leather Boots
Artemis Rutherford,Shield,20,Rowan Windsor,Leather Boots
Julius Stanhope,Leather Boots,7,Lancelot Fairchild,Shield
Corin Harrington,Sword,3,Percival Carlyle,Leather Boots
Aveline Ellis,Leather Boots,3,Eleanor Redmond,Sword
Seraphina Winchester,Leather Boots,1,Euphemia Manning,Shield
Caius Montgomery,Sword,5,Augustus Withers,Shield
Ariadne Carlisle,Sword,2,Aurelius Redcliffe,Leather Boots
Thaddeus Fitzwilliam,Sword,16,Percival Thornton,Leather Boots
Aurelia Devereux,Shield,12,Lancelot Fairfax,Leather Boots
Morgana Withers,Shield,7,Elara Chadwick,Sword
Leander Montgomery,Shield,5,Beatrice Manning,Leather Boots
Arabella Chamberlain,Sword,6,Eleanor Montgomery,Leather Boots
Marcellus Dunstable,Shield,12,Guinevere Sinclair,Leather Boots
Corbin Hollingsworth,Shield,5,Valerius Winchester,Sword
Titania Stratton,Shield,7,Carl Barlow,Sword
Helena Barlow,Leather Boots,8,Ginevra Hazelmere,Sword
Arabella Davenport,Leather Boots,1,Briallen Huntington,Shield
Galen Last Name,Shield,11,Julius Ellis,Sword
Leocadia Sheffield,Shield,7,Artemis Harper,Sword
Isolde Winthrop,Leather Boots,24,Guinevere Manning,Shield
Gawain Faraday,Leather Boots,8,Felix Merrick,Shield
Elara Faraday,Sword,15,Carl Fairfax,Shield
Thaddeus Monroe,Shield,3,Seraphina Merrick,Sword
Clementine Forrester,Leather Boots,13,Lucinda Arundel,Sword
Augustus Harrington,Sword,23,Seraphina Last Name,Shield
Guinevere Hampton,Leather Boots,1,Morgana Stanhope,Shield
Cassius Pendleton,Sword,3,Althea Redmond,Shield
Cassian Winslow,Shield,7,Seraphina Marston,Leather Boots
Lucinda Harrington,Leather Boots,17,Remus Stratford,Shield
Giselle Pembroke,Shield,3,Quintus Ellis,Leather Boots
Helena Chaucer,Leather Boots,1,Beatrice Blackwell,Sword
Eleanor Carlton,Sword,5,Hadrian Monroe,Shield
Morgana Harrow,Leather Boots,19,Thaddeus Monroe,Shield
Eleanor Chamberlain,Leather Boots,22,Lavinia Langford,Sword
Caius Winthrop,Sword,10,Lucius Harper,Shield
Severus Carlton,Shield,1,Cyprian Withers,Leather Boots
Rowan Hartley,Sword,24,Remus Stratton,Leather Boots
Cassia Devereux,Shield,5,Guinevere Wycliffe,Leather Boots
Eloise Langdon,Sword,1,Euphemia Chaucer,Leather Boots
Helena Stratford,Sword,4,Carl Gresham,Leather Boots
Thaddeus Farleigh,Leather Boots,5,Benedict Chamberlain,Sword
Valerius Bradford,Leather Boots,10,Thaddeus Bradbury,Shield
Cressida Whitmore,Shield,19,Gaius Stanhope,Leather Boots
Augustus Windsor,Leather Boots,6,Aurelie Mortimer,Shield
Arabella Wycliffe,Shield,1,Tiberius Wentworth,Leather Boots
Leon Clayton,Sword,2,Rowena Blackwood,Shield
Aurelie Chatham,Leather Boots,8,Septimus Sanderson,Shield
Leander Mortimer,Sword,10,Eleanor Blackburn,Shield
Cordelia Bellingham,Sword,9,Lancelot Beaumont,Shield
Lucius Forrester,Leather Boots,11,Octavius Standish,Sword
Aveline Wellington,Leather Boots,6,Orlando Clifford,Sword
Amara Winchester,Sword,6,Lucius Cromwell,Leather Boots
Cyprian Dunstable,Sword,9,Leander Blackwood,Leather Boots
Beatrice Stanhope,Shield,3,Ambrose Merrick,Sword
Clementine Holloway,Leather Boots,2,Leon Blackwood,Shield
Severus Holloway,Leather Boots,8,Ambrose Forrester,Shield
Marcellus Carlyle,Sword,6,Corin Fitzgerald,Shield
Marcus Redcliffe,Leather Boots,5,Aurelie Redcliffe,Sword
Lucius Thornton,Sword,1,Isadora Windsor,Shield
Lucius Chamberlain,Shield,1,Marcellus Pendragon,Leather Boots
Isolde Stanhope,Leather Boots,6,Euphemia Westminster,Sword
Titania Bannister,Shield,4,Seraphina Devereux,Sword
Octavius Llewellyn,Shield,16,Rowan Chaucer,Leather Boots
Aveline Hampton,Leather Boots,14,Valerius Marlowe,Shield
Isolde Redcliffe,Leather Boots,16,Marcellus Manning,Shield
Aurelia Channing,Sword,5,Caius Merrick,Leather Boots
Rosalind Ellis,Leather Boots,17,Isolde Fitzwilliam,Shield
Lysandra Rutherford,Leather Boots,1,Rosamund Witherspoon,Shield
First Name Stanhope,Leather Boots,27,Quintus Carlisle,Sword
Maximus Pendragon,Sword,8,Guinevere Lancaster,Shield
Eleanor Chatham,Sword,2,Tiberius Drake,Leather Boots
Cassian Redcliffe,Leather Boots,15,Ariadne Covington,Shield
Rowena Monroe,Leather Boots,5,Aurelius Marlowe,Sword
Perseus Addington,Sword,7,Althea Winslow,Leather Boots
Rowan Westcott,Leather Boots,12,Maximus Sinclair,Sword
Gaius Westbury,Leather Boots,15,Helena Cromwell,Sword
Guinevere Davenport,Leather Boots,24,Marcellus Chadwell,Sword
Rowan Marlowe,Shield,8,Quintus Montgomery,Leather Boots
Cordelia Bramblecroft,Shield,4,Lucius Ellis,Leather Boots
Althea Somerset,Sword,7,Augustus Arundel,Leather Boots
Quintus Sheffield,Leather Boots,15,Briallen Bannister,Sword
Briallen Chamberlain,Leather Boots,9,Euphemia Bannister,Sword
Galen Gresham,Sword,8,Constantine Dunstable,Leather Boots
Seraphina Holloway,Shield,7,Augustus Hastings,Sword
Leocadia Harper,Sword,8,Corin Clayton,Leather Boots
Evangeline Westminster,Shield,6,Constantine Farleigh,Leather Boots
Althea Blackburn,Sword,3,Valentin Chamberlain,Leather Boots
Gwendolyn Wellford,Leather Boots,2,Evangeline Marston,Shield
Remus Stanhope,Leather Boots,13,Euphemia Carlton,Shield
Aurelian Wellford,Shield,9,Titus Pembroke,Leather Boots
Augustus Westminster,Shield,4,Cedric Fairfax,Sword
Constantine Covington,Shield,5,Helena Barlow,Sword
Isolde Bannister,Shield,9,Hadrian Harrington,Sword
Octavius Sheffield,Leather Boots,16,Junia Sanderson,Shield
Severus Barlow,Leather Boots,27,Seraphina Farleigh,Shield
Cedric Whitfield,Shield,1,Ariadne Sanderson,Sword
Rosalind Westminster,Leather Boots,2,Isolde Bradbury,Sword
Lavinia Chaucer,Sword,3,Hadrian Harrington,Leather Boots
Elara Huntington,Sword,6,Galen Marlowe,Leather Boots
Cordelia Langford,Sword,5,Amara Wycliffe,Shield
Cornelius Langford,Sword,18,Benedict Wentworth,Shield
Artemis Bradbury,Leather Boots,19,Corin Hollingsworth,Sword
Caius Thornton,Shield,1,Octavian Hazelmere,Leather Boots
Gwendolyn Whitmore,Sword,1,Augustus Langford,Shield
Constantine Wellford,Sword,14,Quintus Wycliffe,Shield
Arabella Winchester,Leather Boots,16,Rosamund Addington,Shield
Ambrose Dunstable,Leather Boots,15,Octavius Stanhope,Shield
Quintus Fitzwilliam,Leather Boots,12,Constantine Hazelmere,Sword
Titania Barlow,Leather Boots,6,Hadrian Redmond,Sword
Evangeline Sheffield,Shield,18,Seraphina Blackburn,Leather Boots
Lyra Windsor,Leather Boots,21,Quintus Ellis,Sword
Artemis Clifford,Leather Boots,38,Isolde Langford,Sword
Cyprian Merrick,Shield,5,Thaddeus Barlow,Leather Boots
Clementine Donovan,Sword,15,Seraphina Bradbury,Shield
Lysander Langdon,Leather Boots,1,Isadora Westcott,Shield
Octavius Fitzwilliam,Shield,1,Remus Ellis,Sword
Seraphina Devereux,Shield,2,Elara Faraday,Sword
Perseus Bradford,Sword,2,Aurelia Sheffield,Leather Boots
Cassius Clifford,Shield,14,Gwendolyn Standish,Sword
Lucian Arundel,Sword,4,Lucius Drake,Shield
Seraphina Bradford,Sword,8,Octavius Ellis,Leather Boots
Augustus Chaucer,Leather Boots,9,Evangeline Bradford,Sword
Lucius Chamberlain,Leather Boots,3,Cassius Kingsley,Sword
Gwendolyn Chamberlain,Leather Boots,1,Severus Harrow,Sword
Gwendolyn Withers,Leather Boots,13,Marcus Pendragon,Sword
Lucius Bradbury,Sword,15,Cornelius Bellingham,Shield
Beatrice Harper,Sword,2,Lavinia Carlisle,Leather Boots
Helena Chadwell,Shield,19,Junia Harrow,Sword
First Name Hastings,Shield,12,Caius Blackburn,Sword
Euphemia Manning,Sword,2,Gawain Hampton,Shield
Lyra Ashbourne,Sword,9,Artemis Harrow,Leather Boots
Cressida Witherspoon,Leather Boots,13,Leocadia Whitmore,Sword
Isolde Bradford,Shield,9,Septimus Rutherford,Leather Boots
Octavian Harrow,Shield,16,Leocadia Arundel,Leather Boots
Lysandra Langley,Shield,23,Marcellus Harrington,Sword
Maximus Gresham,Leather Boots,10,Marcellus Holloway,Shield
Isolde Hazelmere,Leather Boots,7,Arabella Whitfield,Shield
Lucius Wycliffe,Sword,5,Quintus Wellford,Leather Boots
Guinevere Clifford,Sword,2,Leocadia Withers,Leather Boots
Amara Donovan,Shield,3,Seraphina Bannister,Leather Boots
Thaddeus Fairfax,Shield,2,Lysandra Hazelmere,Sword
Junia Blackwood,Leather Boots,13,Cyprian Langdon,Shield
Eleanor Hawthorne,Sword,12,Leocadia Blackwell,Leather Boots
Cornelius Ashbourne,Sword,7,First Name Clifford,Shield
Cyprian Fairfax,Leather Boots,3,Gwendolyn Huntington,Shield
Isolde Sanderson,Sword,16,Guinevere Bramblecroft,Leather Boots
First Name Montgomery,Sword,12,Constantine Addington,Shield
Cassian Westminster,Shield,14,Aurelia Hawthorne,Leather Boots
Percival Hartley,Shield,13,Augustus Ashbourne,Leather Boots
Lancelot Devereux,Shield,7,Marcus Stanhope,Leather Boots
Rosamund Arundel,Leather Boots,4,Cordelia Bramblecroft,Shield
Quintus Dunstan,Leather Boots,16,Beatrice Somerset,Sword
Gawain Witherspoon,Leather Boots,6,Lucinda Westcott,Sword
Hadrian Faraday,Sword,8,Benedict Addington,Shield
Quintus Last Name,Leather Boots,1,Rowena Covington,Shield
Leander Huntington,Sword,16,Marcus Bradbury,Shield
Theron Drake,Leather Boots,15,Ariadne Pembroke,Sword
Quintus Donovan,Sword,16,Aurelian Cromwell,Leather Boots
Augustus Pendleton,Leather Boots,5,Clementine Harper,Sword
Cassia Forrester,Shield,13,Lucian Farleigh,Leather Boots
Isolde Monroe,Shield,2,Theron Ashbourne,Leather Boots
Aurelia Wellington,Shield,7,Cassius Harper,Sword
Benedict Warwick,Leather Boots,4,Helena Chadwell,Shield
Quintus Hampton,Sword,1,Marcellus Fairchild,Leather Boots
Guinevere Mortimer,Leather Boots,4,Lavinia Ellis,Shield
Hadrian Llewellyn,Leather Boots,5,Severus Carlyle,Sword
Lucius Bradbury,Sword,7,Althea Harrow,Leather Boots
Rowena Whitaker,Shield,8,Cassius Hollingsworth,Sword
Clementine Wellford,Sword,4,Octavian Hawthorne,Leather Boots
Remus Rutherford,Sword,2,Thaddeus Barlow,Leather Boots
Aveline Sheffield,Sword,10,Euphemia Harper,Leather Boots
Tiberius Hawthorne,Sword,15,Isolde Chaucer,Shield
Ambrose Cromwell,Shield,9,Benedict Sanderson,Leather Boots
Clementine Monroe,Shield,18,Remus Hawthorne,Sword
Cressida Harper,Leather Boots,15,Eleanor Wycliffe,Shield
Marcus Pembroke,Shield,5,Guinevere Thornton,Sword
Tiberius Hawthorne,Sword,9,Severus Arundel,Shield
Gawain Chadwell,Leather Boots,6,Evangeline Redcliffe,Shield
Cassian Stanhope,Sword,8,Quintus Winthrop,Leather Boots
Elara Kingsley,Leather Boots,7,Morgana Withers,Sword
Artemis Wellington,Sword,8,Aurelian Fairfax,Leather Boots
Tiberius Fitzwilliam,Sword,11,Helena Blackwell,Shield
Cordelia Fitzgerald,Leather Boots,28,Evangeline Farleigh,Sword
Aurelian Hartley,Leather Boots,14,Julius Rutherford,Sword
Gaius Pendleton,Sword,13,Amara Barlow,Shield
Arabella Ashbourne,Sword,3,Percival Standish,Shield
Perseus Hastings,Shield,4,Tiberius Redcliffe,Sword
Lucius Westminster,Leather Boots,2,Cornelius Chamberlain,Sword
Clementine Carlton,Shield,12,Ginevra Winthrop,Sword
Guinevere Fairchild,Sword,4,Artemis Bellingham,Leather Boots
Marcus Channing,Leather Boots,1,Cornelius Monroe,Sword
Guinevere Stanhope,Sword,1,Theron Pendragon,Shield
Cedric Carleton,Sword,3,Valentin Bradbury,Shield
Octavius Bellingham,Shield,5,Arabella Davenport,Leather Boots
Marcus Somerset,Shield,19,Constantine Bellingham,Sword
Gwendolyn Stratford,Shield,20,Helena Mortimer,Leather Boots
Maximus Langley,Leather Boots,13,Titus Holloway,Shield
Isolde Holloway,Shield,1,Cassius Wellford,Leather Boots
Augustus Chatham,Leather Boots,16,Isolde Stratton,Shield
Gawain Fairfax,Leather Boots,15,Carl Claybourne,Shield
First Name Fitzwilliam,Sword,3,Benedict Merrick,Leather Boots
Hadrian Carlisle,Sword,5,Guinevere Mortimer,Leather Boots
Marcus Sanderson,Shield,7,Artemis Montgomery,Leather Boots
Thaddeus Winchester,Sword,25,Guinevere Bradbury,Leather Boots
Leon Langley,Leather Boots,18,Carl Carlton,Shield
Corin Arundel,Leather Boots,6,Lucius Bramblecroft,Shield
Isolde Barlow,Leather Boots,16,Leon Carlisle,Sword
Titus Arundel,Leather Boots,10,Hadrian Wentworth,Sword
Gawain Arundel,Shield,10,Cassius Farleigh,Leather Boots
Junia Ellis,Leather Boots,4,Ariadne Whitmore,Shield
Gawain Cromwell,Leather Boots,6,Aurelia Standish,Sword
Corin Fitzgerald,Leather Boots,19,Augustus Witherspoon,Shield
Cyprian Huntington,Sword,10,Eleanor Claybourne,Leather Boots
Leon Wellington,Shield,23,Lucinda Arundel,Leather Boots
Caius Sheffield,Sword,26,Maximus Fitzwilliam,Leather Boots
Aurelie Witherspoon,Leather Boots,14,Leocadia Carleton,Sword
Lysandra Somerset,Sword,19,Isolde Langford,Leather Boots
Leander Chaucer,Leather Boots,7,Aurelian Cromwell,Shield
Galen Stanhope,Leather Boots,25,Carl Blackwood,Shield
First Name Bradbury,Leather Boots,14,Remus Stratton,Sword
Lyra Stratton,Sword,14,Gwendolyn Carlyle,Shield
Morgana Devereux,Leather Boots,4,Leander Bradford,Shield
Octavian Bramblecroft,Shield,15,Cornelius Stanhope,Leather Boots
Cyprian Pendleton,Leather Boots,12,Cassius Whitaker,Sword
Corbin Chadwick,Leather Boots,17,Guinevere Stratford,Shield
Felix Donovan,Sword,4,Marcus Sinclair,Leather Boots
Ambrose Carlisle,Leather Boots,5,Leander Whitaker,Shield
Julius Manning,Sword,18,Caius Blackburn,Shield
Cordelia Whitfield,Sword,1,Aurelie Cromwell,Leather Boots
Tiberius Hampton,Leather Boots,11,Clementine Holloway,Shield
Lucian Marston,Leather Boots,3,Isolde Hazelmere,Sword
Evangeline Marston,Shield,14,Helena Stratford,Leather Boots
Cassius Sanderson,Leather Boots,10,Beatrice Withers,Sword
Tiberius Carlyle,Shield,7,Briallen Rutherford,Leather Boots
Aurelian Standish,Leather Boots,5,Euphemia Clayton,Sword
Rowan Harper,Sword,6,Elaine Westminster,Shield
Lyra Blackwell,Leather Boots,10,Titania Pembroke,Shield
Octavian Pembroke,Shield,16,Lancelot Warwick,Leather Boots
Cedric Claybourne,Leather Boots,20,Seraphina Lancaster,Shield
Cassius Fairchild,Shield,5,Ginevra Arundel,Leather Boots
Gwendolyn Hampton,Leather Boots,14,Orlando Bellingham,Sword
Lancelot Blackburn,Sword,24,Aurelia Donovan,Leather Boots
Gaius Harrow,Leather Boots,5,Ginevra Barlow,Sword
Rowena Fairfax,Leather Boots,4,Lucian Devereux,Sword
Septimus Westcott,Shield,5,Tiberius Cromwell,Sword
Cassius Llewellyn,Leather Boots,4,Cordelia Chadwell,Sword
Morgana Fairchild,Leather Boots,19,Cedric Beaumont,Shield
Clementine Beaumont,Leather Boots,6,Cyprian Chamberlain,Sword
Lancelot Gresham,Sword,3,Rosalind Wellford,Shield
Tiberius Ellis,Leather Boots,16,Julius Langford,Shield
Caius Carlyle,Leather Boots,12,Corin Meriwether,Sword
Lavinia Wellington,Sword,8,Marcus Bellingham,Leather Boots
